Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_NDX,Gaussian_Weight_EURUSD,Gaussian_Weight_USDJPY,Gaussian_Vol_SPX,Gaussian_Vol_NDX,Gaussian_Vol_EURUSD,Gaussian_Vol_USDJPY,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_NDX,StudentT_Weight_EURUSD,StudentT_Weight_USDJPY,StudentT_Vol_SPX,StudentT_Vol_NDX,StudentT_Vol_EURUSD,StudentT_Vol_USDJPY
2025-02-11,-0.013202104942178059,-0.016228069284616176,0.2568623632200678,0.05397502276494301,0.4318001821195441,0.25736243189544505,0.8466072434488123,1.2091336298996533,0.5453111215695687,0.6603254414314983,-0.013118410382286793,-0.01569471233052456,0.2568623632200678,0.05397502276494301,0.4318001821195441,0.25736243189544505,0.8466072434488123,1.2091336298996533,0.5453111215695687,0.6603254414314983
2025-02-12,-0.012092544475119522,-0.015068835511209114,0.24802880320158438,0.05509382205819055,0.4407505764655244,0.25612679827470064,0.8008371021527175,1.1568973380371879,0.487971885681591,0.6073051353513067,-0.011864004393799489,-0.014390541576667196,0.24802880320158438,0.05509382205819055,0.4407505764655244,0.25612679827470064,0.8008371021527175,1.1568973380371879,0.487971885681591,0.6073051353513067
2025-02-13,-0.012699537632483418,-0.015572642756710591,0.28313552400567255,0.05362730580117643,0.42901844640941145,0.23421872378373954,0.7770734483272286,1.097191422157247,0.5366073941185681,0.6603753074724338,-0.012290733387189685,-0.014830001823830614,0.28313552400567255,0.05362730580117643,0.42901844640941145,0.23421872378373954,0.7770734483272286,1.097191422157247,0.5366073941185681,0.6603753074724338
2025-02-14,-0.012200311832000299,-0.014855549450240793,0.32220424851058876,0.056568780223352,0.452550241786816,0.16867672947924323,0.7374887030381067,1.0429502766520755,0.5053002669255657,0.7244443562884404,-0.011845551210120708,-0.014488627248512118,0.32220424851058876,0.056568780223352,0.452550241786816,0.16867672947924323,0.7374887030381067,1.0429502766520755,0.5053002669255657,0.7244443562884404
2025-02-18,-0.012435870137677484,-0.015230242356701517,0.34676131240581276,0.05308726441905071,0.4246981153524057,0.1754533078227308,0.7013684917864458,0.9923133537619753,0.5487495951539418,0.7231085313484112,-0.012084540002266872,-0.014731847940801141,0.34676131240581276,0.05308726441905071,0.4246981153524057,0.1754533078227308,0.7013684917864458,0.9923133537619753,0.5487495951539418,0.7231085313484112
2025-02-19,-0.012085065966158182,-0.014821759241046683,0.37651775349569455,0.055743087297125626,0.445944698377005,0.12179446083017478,0.6683621993244482,0.9456044281251783,0.5094484038879855,0.7836733474578426,-0.011587720394702511,-0.014037423637945561,0.37651775349569455,0.055743087297125626,0.445944698377005,0.12179446083017478,0.6683621993244482,0.9456044281251783,0.5094484038879855,0.7836733474578426
2025-02-20,-0.011635187555079314,-0.01426234250878309,0.36788956145310747,0.053158203520411555,0.42526562816329244,0.1536866068631886,0.6383694557474998,0.9029406342310101,0.5152534325434668,0.705158232544278,-0.011543699760557866,-0.014010703532626817,0.36788956145310747,0.053158203520411555,0.42526562816329244,0.1536866068631886,0.6383694557474998,0.9029406342310101,0.5152534325434668,0.705158232544278
2025-02-21,-0.011714730596052816,-0.01421154110787872,0.353312405469666,0.054819072408808664,0.4385525792704693,0.15331594285105607,0.6569732297535595,0.9054353643655477,0.5050507609909319,0.7123763627475523,-0.011333289638496316,-0.013693597601925362,0.353312405469666,0.054819072408808664,0.4385525792704693,0.15331594285105607,0.6569732297535595,0.9054353643655477,0.5050507609909319,0.7123763627475523
2025-02-24,-0.01475859918708102,-0.01758036932159256,0.2117113801622407,0.06350169990900456,0.5080135992720365,0.21677332065671814,1.082409059641015,1.3296844603307318,0.5579797809391277,0.8228965455646098,-0.01433759936899699,-0.01714937303432297,0.2117113801622407,0.06350169990900456,0.5080135992720365,0.21677332065671814,1.082409059641015,1.3296844603307318,0.5579797809391277,0.8228965455646098
2025-02-25,-0.013693181488676813,-0.016580555719287085,0.1885530841573206,0.06158574407025036,0.49268595256200287,0.25717521921042613,1.0654867494215783,1.41044328654755,0.5085353596543248,0.7041861897101942,-0.013227525130820258,-0.01624357791472646,0.1885530841573206,0.06158574407025036,0.49268595256200287,0.25717521921042613,1.0654867494215783,1.41044328654755,0.5085353596543248,0.7041861897101942
