Date,EURUSD,USDJPY,SPX,NDX,EURUSD_Return,USDJPY_Return,SPX_Return,NDX_Return
2022-06-16,0.9563699960708618,134.11500549316406,3666.77001953125,11127.5703125,-0.0014940943838236435,-0.008752553398927564,-0.033052207113840666,-0.04104200374973648
2022-06-17,0.9481499791145325,132.42100524902344,3674.840087890625,11265.990234375,-0.008632167796382253,-0.012711400977564746,0.0021984473410133873,0.012362632956733741
2022-06-21,0.9505000114440918,135.08700561523438,3764.7900390625,11546.759765625,0.002475478409740657,0.01993277604882807,0.024182474960671992,0.024616384187026413
2022-06-22,0.949429988861084,136.2689971923828,3759.889892578125,11527.7099609375,-0.001126381178219363,0.008711795873698568,-0.0013024200953574458,-0.0016511589857744829
2022-06-23,0.9466000199317932,136.0240020751953,3795.72998046875,11697.6796875,-0.0029851542619986036,-0.0017994967476812867,0.00948707248555652,0.014636805977883048
2022-06-24,0.9505599737167358,134.83999633789062,3911.739990234375,12105.849609375,0.00417461842879474,-0.008742492804346186,0.030105539729901033,0.034298269746593016
2022-06-27,0.9464200139045715,135.06199645996094,3900.110107421875,12008.240234375,-0.004364797111055695,0.001645042853023263,-0.0029774998903406716,-0.008095674250306505
2022-06-28,0.9451000094413757,135.43499755859375,3821.550048828125,11637.76953125,-0.0013957078552534865,0.002757896341188161,-0.0203486731494949,-0.03133729740982221
2022-06-29,0.9502500295639038,136.0469970703125,3818.830078125,11658.259765625,0.005434386990242145,0.004508590333961892,-0.0007119988201726959,0.0017591186375838896
2022-06-30,0.9572499990463257,136.58900451660156,3785.3798828125,11503.7197265625,0.007339450380070101,0.003976057139813154,-0.008797866246367652,-0.013344483999812685
2022-07-01,0.9544100165367126,135.78599548339844,3825.330078125,11585.6796875,-0.0029712235185994787,-0.005896366110903087,0.010498511296639174,0.0070993882264514235
2022-07-05,0.9584800004959106,135.83999633789062,3831.389892578125,11779.900390625,0.004255331006496532,0.0003976118400270368,0.0015828751061934918,0.016624896604133323
2022-07-06,0.9748799800872803,135.52099609375,3845.080078125,11852.58984375,0.01696566922533139,-0.002351114566820665,0.003566795705066178,0.006151673533913169
2022-07-07,0.9817000031471252,135.96600341796875,3902.6201171875,12109.0498046875,0.006971399829899187,0.0032782985820253288,0.014853723180930391,0.021406694877094023
2022-07-08,0.983299970626831,135.91299438476562,3899.3798828125,12125.6904296875,0.0016284660098111955,-0.00038994577958015764,-0.00083061639612735,0.0013732870626469106
2022-07-11,0.9836599826812744,136.30099487304688,3854.429931640625,11860.2802734375,0.0003660593677649441,0.0028507039781217026,-0.011594417660525545,-0.0221313527422526
2022-07-12,0.9952700138092041,137.38800048828125,3818.800048828125,11744.990234375,0.011733779724908218,0.00794340546591518,-0.00928686849749371,-0.00976823847507027
2022-07-13,0.9966999888420105,136.7259979248047,3801.780029296875,11728.5302734375,0.0014357397717263498,-0.0048301353040216925,-0.00446686411181668,-0.0014024282066949683
2022-07-14,0.9967399835586548,137.6280059814453,3790.3798828125,11768.400390625,4.01263315710203e-05,0.006575528651661922,-0.003003138812764307,0.003393647963843006
2022-07-15,0.997439980506897,138.9669952392578,3863.159912109375,11983.6201171875,0.0007020399257899471,0.00968202398309235,0.01901923165863364,0.018122720708997477
2022-07-18,0.9904599785804749,138.31399536132812,3830.85009765625,11877.5,-0.007022516983134163,-0.004710031392454987,-0.008398742485835936,-0.008894873026897952
2022-07-19,0.9856899976730347,138.22900390625,3936.68994140625,12249.419921875,-0.004827558868086724,-0.0006146708322335816,0.02725351764373082,0.030832728474266373
2022-07-20,0.9773899912834167,138.1909942626953,3959.89990234375,12439.6796875,-0.008456156544827854,-0.00027501370411716627,0.0058784939410571665,0.01541275583307934
2022-07-21,0.9820500016212463,138.39500427246094,3998.949951171875,12619.41015625,0.004756480566299831,0.0014752015492010123,0.00981306668950467,0.014344778827041372
2022-07-22,0.9783700108528137,137.09800720214844,3961.6298828125,12396.4697265625,-0.0037542925162808083,-0.009415895132172919,-0.009376287293813849,-0.0178243846076894
2022-07-25,0.9803699851036072,136.31199645996094,3966.840087890625,12328.41015625,0.0020421035461003585,-0.0057497011598444175,0.001314302973305868,-0.005505364841948015
